emp_id,emp_name,location,job_domain,joining_datee
1,shridhar,maharashtra,marketing,2022-01-01
2,rajendra,punjab,"web development",2021-01-01
3,manisha,maharashtra,Sales,2013-01-01
4,pooja,punjab,"web development",2023-01-01
5,parth,maharashtra,"web development",2022-01-01
6,rajesh,gujrat,marketing,2000-01-01
7,suresh,MP,marketing,2001-01-01
8,mahesh,maharashtra,Sales,2009-01-01
9,ravi,gujrat,"web development",2001-01-01
10,john,Goa,"web development",2015-01-01
11,adam,punjab,marketing,2000-01-01
12,mohan,maharashtra,marketing,1999-01-01
13,deepak,maharashtra,"web development",1998-01-01
14,mohit,maharashtra,marketing,1995-01-01
15,sumer,Rajasthan,Sales,2000-01-01
16,harry,maharashtra,Sales,1997-01-01
17,sonal,gujrat,marketing,1946-01-01
18,neil,maharashtra,finance,2009-01-01
19,ankur,maharashtra,marketing,1972-01-01
20,abhay,maharashtra,finance,2008-01-01
21,swapnil,maharashtra,marketing,1990-01-01
22,karan,"Tamil nadu",Sales,2019-01-01
23,arjun,maharashtra,marketing,2019-01-01
24,paresh,maharashtra,"web development",2019-01-01
25,jaggi,punjab,marketing,2010-01-01
